الحاشية القديمة (١-٨٠٠)	المقال	الرقم المحلي في الفصل	الرقم العام الجديد	الدرجة
193	020	3	125	متفق عليه
194	020	3	125	متفق عليه
195	020	3	125	متفق عليه
196	020	4	126	صحيح
197	021	1	127	متفق عليه في أصله؛ والتفصيل عند أهل السير
198	021	2	128	متفق عليه في أصله؛ والتفصيل عند أهل السير
199	021	3	129	متفق عليه
200	021	4	130	قرآن كريم — قطعي
201	021	5	131	متفق عليه في أصله؛ والتفصيل عند أهل السير
202	021	6	132	مرسل
203	022	1	133	مرسل
204	022	2	134	مرسل
205	022	3	135	صحيح
206	022	4	136	صحيح في أصله
207	022	5	137	صحيح
208	022	2	134	مرسل
209	022	6	138	متفق عليه في أصله؛ والتفصيل عند أهل السير
210	023	1	139	قرآن كريم — قطعي
211	023	2	140	قرآن كريم — قطعي
212	023	3	141	متفق عليه
213	023	4	142	متفق عليه
214	023	5	143	متفق عليه في أصله؛ والتفصيل عند أهل السير
215	023	6	144	متفق عليه
216	024	1	145	مرسل
217	024	2	146	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
218	024	3	147	حسن
219	024	4	148	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
220	024	5	149	متفق عليه في أصله؛ والتفصيل عند أهل السير
221	025	1	150	متفق عليه
222	025	2	151	صحيح؛ والآية قطعية
223	025	3	152	صحيح؛ والآية قطعية
224	025	4	153	قرآن كريم — قطعي
225	025	5	154	حسن
226	025	6	155	مرسل
227	025	7	156	صحيح؛ والآية قطعية
228	026	1	157	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
229	026	2	158	قرآن كريم — قطعي
230	026	3	159	متفق عليه في أصله؛ والتفصيل عند أهل السير
231	026	4	160	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
232	026	5	161	قرآن كريم — قطعي
233	026	6	162	حسن
234	026	7	163	متفق عليه
235	026	8	164	متفق عليه في أصله؛ والتفصيل عند أهل السير
236	026	9	165	مرسل — تتلقاه كتب السير والمغازي بالقبول
237	027	1	166	حسن
238	027	2	167	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
239	027	3	168	حسن لغيره
240	027	4	169	قرآن كريم — قطعي
241	027	5	170	صحيح
242	027	6	171	صحيح
243	027	7	172	صحيح؛ والآية قطعية
244	028	1	173	حسن
245	028	2	174	متفق عليه
246	028	3	175	مرسل
247	028	4	176	مرسل
248	029	1	177	حسن
249	029	1	177	حسن
250	029	1	177	حسن
251	029	1	177	حسن
252	029	2	178	متفق عليه
253	029	3	179	متفق عليه
254	030	1	180	صحيح
255	030	2	181	مرسل
256	030	3	182	مرسل
257	030	4	183	صحيح
258	030	5	184	صحيح
259	031	1	185	مرسل
260	031	2	186	متفق عليه
261	031	1	185	مرسل
262	031	3	187	صحيح
263	031	4	188	صحيح
264	032	1	189	حسن
265	032	2	190	متفق عليه في أصله؛ والتفصيل عند أهل السير
266	032	3	191	متفق عليه
267	032	4	192	صحيح
268	032	5	193	متفق عليه
269	032	6	194	متفق عليه
270	032	7	195	حسن
271	032	8	196	متفق عليه في أصله؛ والتفصيل عند أهل السير
272	033	1	197	مرسل
273	033	2	198	متفق عليه
274	033	3	199	مرسل
275	033	4	200	متفق عليه في أصله؛ والتفصيل عند أهل السير
276	033	5	201	أصله صحيح؛ والتفصيل عند أهل السير
277	034	1	202	صحيح في أصله
278	034	2	203	حسن — انظر تخريجه في مظانّه
279	034	3	204	صحيح في أصله
280	034	4	205	مرسل — تتلقاه كتب السير والمغازي بالقبول
281	034	5	206	قرآن كريم — قطعي
282	035	1	207	متفق عليه
283	035	2	208	صحيح
284	035	3	209	صحيح
285	035	4	210	قرآن كريم — قطعي
286	036	1	211	متفق عليه
287	036	2	212	متفق عليه
288	036	3	213	متفق عليه
289	036	4	214	قرآن كريم — قطعي
290	036	5	215	متفق عليه
291	036	6	216	متفق عليه
292	036	7	217	متفق عليه
293	037	1	218	صحيح
294	037	2	219	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
295	037	3	220	مرسل
296	037	4	221	مرسل
297	037	4	221	مرسل
298	038	1	222	متفق عليه
299	038	2	223	مرسل
300	038	3	224	مرسل — تتلقاه كتب السير والمغازي بالقبول
301	039	1	225	صحيح
302	039	2	226	حسن
303	039	3	227	صحيح في أصله
304	039	4	228	صحيح في أصله
305	039	5	229	حسن
306	039	6	230	حسن
307	040	1	231	حسن
308	040	2	232	قرآن كريم — قطعي
309	040	3	233	صحيح
310	040	4	234	حسن
311	040	5	235	قرآن كريم — قطعي
312	040	6	236	صحيح
313	040	1	231	حسن
314	041	1	237	صحيح
315	041	2	238	متفق عليه
316	041	3	239	قرآن كريم — قطعي
317	042	1	240	صحيح
318	042	2	241	متفق عليه
319	042	3	242	حسن لغيره
320	043	1	243	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
321	043	2	244	أصله صحيح؛ والتفصيل عند أهل السير
322	043	3	245	متفق عليه
323	044	1	247	صحيح
324	044	2	248	متفق عليه
325	044	3	249	حسنٌ بمجموع الطرق
326	044	4	250	صحيح
327	045	1	251	أصلُ المؤاخاة صحيحٌ متفقٌ عليه
328	045	2	252	صحيح
329	045	3	253	صحيح
330	045	4	254	قرآن كريم — قطعي
331	045	5	255	صحيح
332	046	1	256	متفق عليه
333	046	2	257	صحيح في أصله
334	046	3	258	متفق عليه
335	046	4	259	متفق عليه
336	047	1	260	حسنٌ بشواهده في جملته
337	048	1	261	متفق عليه
338	048	2	262	قرآن كريم — قطعي
339	048	3	263	متفق عليه
340	048	4	264	متفق عليه
341	048	5	265	صحيح؛ والآية قطعية
342	048	6	266	قرآن كريم — قطعي
343	049	1	267	حسنٌ عند أهل المغازي، والعهدةُ في التفاصيل عليهم
344	049	2	268	أصله صحيح؛ والتفصيل عند أهل السير
345	049	3	269	أصله صحيح؛ والتفصيل عند أهل السير
346	049	1	267	حسنٌ عند أهل المغازي، والعهدةُ في التفاصيل عليهم
347	050	1	270	حسن
348	050	2	271	حسن
349	050	2	271	حسن
350	050	3	272	حسن
351	050	4	273	قرآن كريم — قطعي
352	050	5	274	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
353	051	1	275	أصلُها صحيح
354	051	2	276	أصله صحيح؛ والتفصيل عند أهل السير
355	051	3	277	أصلُها صحيح
356	051	3	277	أصلُها صحيح
357	051	3	277	أصلُها صحيح
358	051	4	278	قرآن كريم — قطعي
359	052	1	279	صحيح
360	052	2	280	صحيح
361	052	3	281	أصلُه صحيح
362	052	4	282	أصله صحيح؛ والتفصيل عند أهل السير
363	052	1	279	صحيح
364	053	1	283	حسن
365	053	2	284	حسن
366	053	3	285	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
367	053	4	286	أصله صحيح؛ والتفصيل عند أهل السير
368	054	1	287	حسن
369	054	2	288	صحيح
370	054	3	289	صحيح؛ والآية قطعية
371	054	4	290	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
372	054	1	287	حسن
373	055	1	291	صحيح في أصله
374	055	2	292	حسنٌ مشهور
375	055	3	293	صحيحٌ بأصله
376	055	4	294	صحيح؛ والآية قطعية
377	055	5	295	حسنٌ مشهور
378	056	1	296	صحيح؛ والآية قطعية
379	056	2	297	صحيح
380	056	3	298	صحيح؛ والآية قطعية
381	056	4	299	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
382	056	5	300	متفق عليه
383	056	6	301	أصله صحيح؛ والتفصيل عند أهل السير
384	057	1	302	صحيح
385	057	2	303	صحيح
386	057	3	304	حسن
387	057	4	305	متفق عليه
388	057	5	306	صحيح؛ والآية قطعية
389	057	6	307	حسن
390	058	1	308	حسنٌ متلقًّى بالقبول
391	058	2	309	صحيح
392	058	3	310	حسنٌ متلقًّى بالقبول
393	058	4	311	حسنٌ متلقًّى بالقبول
394	058	5	312	أصله صحيح؛ والتفصيل عند أهل السير
395	058	6	313	قرآن كريم — قطعي
396	059	1	314	صحيح
397	059	2	315	صحيح في أصله
398	059	3	316	حسن
399	059	4	317	صحيح
400	059	5	318	صحيح
401	059	6	319	قرآن كريم — قطعي
402	060	1	320	حسنٌ متلقًّى بالقبول عند أهل السير
403	060	2	321	حسنٌ متلقًّى بالقبول عند أهل السير
404	060	1	320	حسنٌ متلقًّى بالقبول عند أهل السير
405	060	3	322	حسن
406	061	1	323	حسن
407	061	2	324	حسن
408	061	3	325	صحيح
409	061	4	326	حسن عند أهل المغازي
410	061	5	327	حسن
411	061	6	328	قرآن كريم — قطعي
412	062	1	329	حسن
413	062	2	330	متفق عليه
414	062	3	331	حسن عند أهل المغازي
415	062	3	331	حسن عند أهل المغازي
416	063	1	332	حسن عند أهل المغازي
417	063	2	333	حسن عند أهل المغازي
418	063	1	332	حسن عند أهل المغازي
419	064	1	334	متفق عليه
420	064	2	335	حسن
421	064	3	336	صحيح
422	064	4	337	متفق عليه
423	064	5	338	متفق عليه
424	064	6	339	متفق عليه
425	064	7	340	صحيح
426	065	1	341	حسن
427	065	2	342	قرآن كريم — قطعي
428	065	3	343	حسن عند أهل المغازي
429	065	4	344	قرآن كريم — قطعي
430	065	5	345	حسن عند أهل المغازي
431	066	1	346	حسن
432	066	2	347	حسن
433	066	3	348	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
434	066	4	349	حسن عند أهل المغازي
435	067	1	350	حسن عند أهل المغازي
436	067	2	351	حسن عند أهل المغازي
437	067	3	352	حسن عند أهل المغازي
438	067	2	351	حسن عند أهل المغازي
439	067	2	351	حسن عند أهل المغازي
440	068	1	353	حسن عند أهل المغازي
441	068	1	353	حسن عند أهل المغازي
442	068	2	354	حسن عند أهل المغازي
443	068	3	355	متفق عليه
444	068	4	356	حسن عند أهل المغازي
445	068	5	357	صحيح
446	068	6	358	متفق عليه
447	068	1	353	حسن عند أهل المغازي
448	068	6	358	متفق عليه
449	068	1	353	حسن عند أهل المغازي
450	069	1	359	حسن عند أهل المغازي
451	069	2	360	متفق عليه
452	070	1	361	حسن عند أهل المغازي
453	070	2	362	حسن عند أهل المغازي
454	070	1	361	حسن عند أهل المغازي
455	070	2	362	حسن عند أهل المغازي
456	070	3	363	حسن
457	071	1	364	صحيح في أصله
458	071	2	365	حسن
459	071	3	366	حسن
460	071	4	367	متفق عليه في أصله؛ والتفصيل عند أهل السير
461	071	5	368	حسن
462	072	1	369	حسن عند أهل المغازي
463	072	2	370	قرآن كريم — قطعي
464	072	1	369	حسن عند أهل المغازي
465	072	1	369	حسن عند أهل المغازي
466	072	3	371	أصله صحيح؛ والتفصيل عند أهل السير
467	072	1	369	حسن عند أهل المغازي
468	073	1	372	حسن عند أهل المغازي
469	073	1	372	حسن عند أهل المغازي
470	073	2	373	حسن عند أهل المغازي
471	073	1	372	حسن عند أهل المغازي
472	073	3	374	متفق عليه
473	073	4	375	حسن
474	073	1	372	حسن عند أهل المغازي
475	073	5	376	حسن
476	074	1	377	قرآن كريم — قطعي
477	074	2	378	متفق عليه
478	074	3	379	حسن
479	074	4	380	حسن عند أهل المغازي
480	074	4	380	حسن عند أهل المغازي
481	074	5	381	متفق عليه في أصله؛ والتفصيل عند أهل السير
482	075	1	382	حسن عند أهل المغازي
483	075	2	383	أصله صحيح؛ والتفصيل عند أهل السير
484	075	3	384	صحيح
485	075	4	385	صحيح
486	075	5	386	حسن عند أهل المغازي
487	075	1	382	حسن عند أهل المغازي
488	075	6	387	متفق عليه
489	076	1	388	حسن عند أهل المغازي
490	076	2	389	حسن عند أهل المغازي
491	076	1	388	حسن عند أهل المغازي
492	076	2	389	حسن عند أهل المغازي
493	076	3	390	صحيح في أصله
494	076	4	391	صحيح
495	077	1	392	صحيح
496	077	2	393	أصله صحيح؛ والتفصيل عند أهل السير
497	077	3	394	صحيح
498	077	4	395	مرسل — تتلقاه كتب السير والمغازي بالقبول
499	077	5	396	صحيح
500	077	6	397	متفق عليه في أصله؛ والتفصيل عند أهل السير
501	078	1	398	صحيح
502	078	2	399	حسن
503	078	3	400	صحيح
504	078	4	401	صحيح
505	078	5	402	متفق عليه
506	078	6	403	حسن عند أهل المغازي
507	078	7	404	صحيح؛ والآية قطعية
508	078	8	405	متفق عليه
509	078	9	406	حسن عند أهل المغازي
510	078	10	407	متفق عليه
511	079	1	408	صحيح
512	079	2	409	صحيح
513	079	3	410	أصله صحيح؛ والتفصيل عند أهل السير
514	079	4	411	حسن عند أهل المغازي
515	080	1	412	حسن عند أهل المغازي
516	080	2	413	حسن
517	080	3	414	صحيح
518	080	4	415	صحيح في أصله
519	081	1	416	صحيح
520	081	2	417	صحيح
521	081	3	418	صحيح
522	081	4	419	متفق عليه
523	081	5	420	متفق عليه
524	081	6	421	حسن
525	081	7	422	قرآن كريم — قطعي
526	081	8	423	حسن
527	081	9	424	حسن
528	082	1	425	حسن عند أهل المغازي
529	082	2	426	حسن
530	082	1	425	حسن عند أهل المغازي
531	082	3	427	حسن
532	083	1	428	حسن عند أهل المغازي
533	083	2	429	متفق عليه في أصله؛ والتفصيل عند أهل السير
534	083	1	428	حسن عند أهل المغازي
535	083	3	430	صحيح؛ والآية قطعية
536	083	1	428	حسن عند أهل المغازي
537	083	4	431	أصله صحيح؛ والتفصيل عند أهل السير
538	083	5	432	قرآن كريم — قطعي
539	083	6	433	حسن عند أهل المغازي
540	084	1	434	قرآن كريم — قطعي
541	084	2	435	قرآن كريم — قطعي
542	084	3	436	قرآن كريم — قطعي
543	084	4	437	حسن
544	084	5	438	قرآن كريم — قطعي
545	084	6	439	قرآن كريم — قطعي
546	084	7	440	قرآن كريم — قطعي
547	084	8	441	قرآن كريم — قطعي
548	085	1	442	حسن عند أهل المغازي
549	085	2	443	حسن
550	085	3	444	حسن
551	086	1	445	أصله صحيح؛ والتفصيل عند أهل السير
552	086	2	446	صحيح
553	086	3	447	صحيح
554	086	2	446	صحيح
555	086	4	448	صحيح
556	086	5	449	حسن عند أهل المغازي
557	086	6	450	صحيح
558	087	1	451	حسن عند أهل المغازي
559	087	2	452	متفق عليه
560	087	3	453	متفق عليه
561	087	4	454	حسن عند أهل المغازي
562	087	5	455	متفق عليه
563	087	6	456	أصله صحيح؛ والتفصيل عند أهل السير
564	087	7	457	متفق عليه
565	087	8	458	متفق عليه
566	087	4	454	حسن عند أهل المغازي
567	088	1	459	حسنٌ في تفصيله
568	088	1	459	حسنٌ في تفصيله
569	088	1	459	حسنٌ في تفصيله
570	088	2	460	حسنٌ في تفصيله
571	088	1	459	حسنٌ في تفصيله
572	088	3	461	متفق عليه
573	088	4	462	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
574	088	5	463	حسن
575	088	6	464	صحيح؛ والآية قطعية
576	088	7	465	متفق عليه
577	089	1	466	صحيح
578	089	2	467	صحيح
579	089	3	468	حسن
580	090	1	469	حسن عند أهل المغازي
581	090	1	469	حسن عند أهل المغازي
582	090	2	470	حسن عند أهل المغازي
583	091	1	471	قرآن كريم — قطعي
584	091	2	472	صحيح في أصله
585	091	3	473	صحيح في أصله
586	091	4	474	متفق عليه
587	091	5	475	متفق عليه في أصله؛ والتفصيل عند أهل السير
588	092	1	476	متفق عليه
589	092	2	477	متفق عليه
590	092	3	478	حسن
591	092	4	479	متفق عليه في أصله؛ والتفصيل عند أهل السير
592	093	1	480	حسن عند أهل المغازي
593	093	2	481	حسن عند أهل المغازي
594	093	3	482	حسن
595	093	4	483	قرآن كريم — قطعي
596	093	2	481	حسن عند أهل المغازي
597	093	1	480	حسن عند أهل المغازي
598	094	1	484	حسنٌ في تفصيله
599	094	2	485	صحيح
600	094	3	486	متفق عليه
601	094	4	487	صحيح
602	094	5	488	صحيح
603	094	6	489	حسن
604	094	7	490	متفق عليه
605	095	1	491	حسن عند أهل المغازي
606	095	2	492	قرآن كريم — قطعي
607	095	3	493	قرآن كريم — قطعي
608	095	4	494	قرآن كريم — قطعي
609	095	1	491	حسن عند أهل المغازي
610	095	5	495	حسن عند أهل المغازي
611	095	6	496	متفق عليه
612	095	7	497	صحيح
613	096	1	498	حسن عند أهل المغازي
614	096	1	498	حسن عند أهل المغازي
615	096	2	499	حسن
616	096	3	500	حسن
617	097	1	501	متفق عليه في أصله؛ والتفصيل عند أهل السير
618	097	2	502	القصة حسنة
619	097	2	502	القصة حسنة
620	097	2	502	القصة حسنة
621	098	1	503	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
622	098	2	504	صحيح
623	098	3	505	حسن
624	098	4	506	قرآن كريم — قطعي
625	098	5	507	صحيح
626	098	6	508	متفق عليه
627	098	7	509	متفق عليه
628	099	1	510	متفق عليه
629	099	2	511	حسن مشهور عند أهل المغازي
630	099	3	512	حسن مشهور عند أهل المغازي
631	099	3	512	حسن مشهور عند أهل المغازي
